id,title,current_price,original_price,discount_text,image_url,unit_size,category,url,scrape_date,store
589502,AH Thaise Kip Siam Verspakket,"€0,00","€12,23",,https://static.ah.nl/dam/product/AHI_4354523130313534313831?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/589502,2025-03-06,Albert Heijn
590150,AH Griekse Moussaka Verspakket,"€0,00","€15,22",,https://static.ah.nl/dam/product/AHI_4354523130313538333833?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/590150,2025-03-06,Albert Heijn
30851,AH Tomatenblokjes,"€0,00","€0,69",,https://static.ah.nl/dam/product/AHI_43545239393433333830?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/30851,2025-03-06,Albert Heijn
30428,AH Terra Kidneybonen,"€0,00","€0,65",,https://static.ah.nl/dam/product/AHI_4354523130313532333838?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/30428,2025-03-06,Albert Heijn
910,AH Augurken zoetzuur,"€0,00","€0,99",,https://static.ah.nl/dam/product/AHI_43545239363336353931?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/910,2025-03-06,Albert Heijn
777,AH Spinazie à la creme,"€0,00","€0,99",,https://static.ah.nl/dam/product/AHI_4354523130313234353332?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/777,2025-03-06,Albert Heijn
913,AH Zilveruitjes zoetzuur,"€0,00","€0,75",,https://static.ah.nl/dam/product/AHI_4354523130303934373539?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/913,2025-03-06,Albert Heijn
382561,AH Sperziebonen gebroken,"€0,00","€1,49",,https://static.ah.nl/dam/product/AHI_434d50323532393230?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/382561,2025-03-06,Albert Heijn
914,AH Augurken partysticks zoetzuur,"€0,00","€1,19",,https://static.ah.nl/dam/product/AHI_43545239363336363030?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/914,2025-03-06,Albert Heijn
39136,AH Terra Witte bonen in tomatensaus,"€0,00","€0,85",,https://static.ah.nl/dam/product/AHI_4354523130313532333833?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/39136,2025-03-06,Albert Heijn
841,AH Terra Hollandse bruine bonen,"€0,00","€1,09",,https://static.ah.nl/dam/product/AHI_4354523130313532353138?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/841,2025-03-06,Albert Heijn
58367,AH Rode kool met appel,"€0,00","€0,65",,https://static.ah.nl/dam/product/AHI_43545239383438363038?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/58367,2025-03-06,Albert Heijn
469776,AH Basis soepgroente,"€0,00","€1,25",,https://static.ah.nl/dam/product/AHI_43545239393532383539?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/469776,2025-03-06,Albert Heijn
189681,AH Zongedroogde tomaten,"€0,00","€1,65",,https://static.ah.nl/dam/product/AHI_43545239393530343638?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/189681,2025-03-06,Albert Heijn
60036,AH Champignon schijfjes,"€0,00","€0,99",,https://static.ah.nl/dam/product/AHI_43545239383730343230?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/60036,2025-03-06,Albert Heijn
382559,AH Tuinerwten en wortel,"€0,00","€1,49",,https://static.ah.nl/dam/product/AHI_434d50323532393231?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/382559,2025-03-06,Albert Heijn
39144,AH Wortelen,"€0,00","€0,99",,https://static.ah.nl/dam/product/AHI_43545239383434343935?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/39144,2025-03-06,Albert Heijn
805,AH Terra Witte bonen in tomatensaus,"€0,00","€0,69",,https://static.ah.nl/dam/product/AHI_4354523130313532343234?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/805,2025-03-06,Albert Heijn
57859,AH Rode kool met appel,"€0,00","€0,55",,https://static.ah.nl/dam/product/AHI_43545239383438363037?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/57859,2025-03-06,Albert Heijn
53860,AH Augurken zuur,"€0,00","€0,99",,https://static.ah.nl/dam/product/AHI_43545239363338373935?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/53860,2025-03-06,Albert Heijn
57076,AH Augurken partysticks pittig,"€0,00","€1,19",,https://static.ah.nl/dam/product/AHI_43545239363334363038?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/57076,2025-03-06,Albert Heijn
4090,AH Vleestomaten,"€0,00","€1,79",,https://static.ah.nl/dam/product/AHI_434d50303434303635?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/4090,2025-03-06,Albert Heijn
4190,AH Andijvie,"€0,00","€3,10",,https://static.ah.nl/dam/product/AHI_434d50303230303933?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/4190,2025-03-06,Albert Heijn
99045,AH Nederlandse witte asperges,"€0,00","€7,99",,https://static.ah.nl/dam/product/AHI_4354523130313535303438?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/99045,2025-03-06,Albert Heijn
107686,AH Groene aspergetips,"€0,00","€4,49",,https://static.ah.nl/dam/product/AHI_43545239393431383636?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/107686,2025-03-06,Albert Heijn
117192,AH Kleine spruitjes,"€0,00","€1,49",,https://static.ah.nl/dam/product/AHI_43545239383833303139?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/117192,2025-03-06,Albert Heijn
127728,AH Aardappelen iets kruimig,"€0,00","€5,49",,https://static.ah.nl/dam/product/AHI_4354523130313333313536?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/127728,2025-03-06,Albert Heijn
162711,AH Spinazie,"€0,00","€1,15",,https://static.ah.nl/dam/product/AHI_4354523130313332323637?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/162711,2025-03-06,Albert Heijn
162712,AH Spinazie à la crème,"€0,00","€1,39",,https://static.ah.nl/dam/product/AHI_4354523130313332323730?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/162712,2025-03-06,Albert Heijn
169400,AH Aardappelen vastkokend,"€0,00","€5,49",,https://static.ah.nl/dam/product/AHI_4354523130303630373935?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/169400,2025-03-06,Albert Heijn
172451,AH Prei,"€0,00","€1,49",,https://static.ah.nl/dam/product/AHI_43545239393335303232?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/172451,2025-03-06,Albert Heijn
185535,Hak Hak schorseneren,"€0,00","€2,99",,https://static.ah.nl/dam/product/AHI_43545239373431313639?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/185535,2025-03-06,Albert Heijn
191446,Heinz Tomato puree,"€0,00","€0,59",,https://static.ah.nl/dam/product/AHI_4354523130313338303431?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/191446,2025-03-06,Albert Heijn
197419,AH Tricolor kluitsla,"€0,00","€1,35",,https://static.ah.nl/dam/product/AHI_43545239383832393732?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/197419,2025-03-06,Albert Heijn
198167,Caykur Rize Turist cayi,"€0,00","€4,99",,https://static.ah.nl/dam/product/AHI_4354523130303737393834?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/198167,2025-03-06,Albert Heijn
203002,AH Biologisch Rode bieten los,"€0,00","€0,89",,https://static.ah.nl/dam/product/AHI_434d50323131343033?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/203002,2025-03-06,Albert Heijn
203287,Hak Bonenschotel voor chili con carne,"€0,00","€2,99",,https://static.ah.nl/dam/product/AHI_43545239393036333836?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/203287,2025-03-06,Albert Heijn
210154,AH Broccoli,"€0,00","€2,90",,https://static.ah.nl/dam/product/AHI_434d50303133303830?revLabel=3&rendition=800x800_JPG_Q90&fileType=binary,,,https://www.ah.nl/producten/product/210154,2025-03-06,Albert Heijn
